MAE,RMSE
0.011693929675675908,0.029234989913569074
0.012799268219146776,0.028552378427811356
0.011481134738927003,0.02063220050976674
0.01283470619897826,0.02831353792074485
0.011622317074907797,0.03143182606178044
0.013234149468699078,0.03381146040096969
0.01325882406113862,0.027838280219658014
0.014657266102984613,0.031126846054370008
0.01699833165993151,0.03077713001760559
0.01559050415953489,0.032251260203474214
0.017509894279530164,0.033583119671687825
0.018528345082393427,0.03827815011786935
